
Max Relative Error (%) - Vapor Pressure: 
     VdW: 134.333     RK : 20.7287     SRK: 1.41107      PR: 0.776898

Relative Error (%) - Vapor Pressure: 
    Tvap:      VdW:      RK :      SRK:       PR: 
       273    134.33    20.729   0.43184   0.66116
       274    131.18    20.396   0.35977   0.75542
       275    128.26    20.152   0.36043    0.7769
       276    125.56    19.988   0.42801   0.73141
       277    123.05    19.898   0.55774   0.62374
       278    120.16    19.572   0.48958   0.71082
       279    117.49    19.328   0.48924   0.73009
       280       115    19.161    0.5518   0.68646
       281    112.69    19.062   0.67288   0.58429
       282    110.05    18.743    0.6083   0.66469
       283    107.59      18.5   0.60739   0.68146
       284     105.3    18.328   0.66564   0.63907
       285    103.17     18.22   0.77904   0.54153
       286    100.74    17.909   0.71815    0.6136
       287    98.476    17.668   0.71882   0.62744
       288    96.365    17.493   0.77358   0.58559
       289    94.396    17.379   0.88036   0.49171
       290    92.161    17.078   0.82664   0.55544
       291    90.075    16.844   0.82901   0.56313
       292    88.129     16.67   0.88372   0.51851
       293    86.311    16.554    0.9874   0.42491
       294    84.241    16.257   0.93394   0.48557
       295    82.306    16.022   0.93346   0.49329
       296    80.498    15.844   0.98251   0.45151
       297    78.805     15.72     1.078    0.3633
       298    76.868    15.415    1.0151   0.43045
       299    75.054    15.169    1.0029   0.44706
       300    73.356    14.978     1.038   0.41633
       301    71.764    14.838    1.1175   0.34116
       302    69.997     14.56    1.0755   0.38518
       303    68.341    14.337    1.0803   0.38235
       304    66.787    14.164     1.129   0.33552
       305    65.328    14.037    1.2192   0.24731
       306    63.676    13.759    1.1737   0.29204
       307    62.125    13.532    1.1729   0.29219
       308    60.668    13.353    1.2139   0.25042
       309    59.299    13.222    1.2944   0.16915
       310    57.763    12.952    1.2533   0.20707
       311     56.32     12.73    1.2543   0.20287
       312    54.968    12.553    1.2949     0.159
       313     53.69    12.418    1.3757  0.074756
       314    52.241    12.142    1.3263   0.11838
       315    50.878    11.912    1.3172   0.12159
       316    49.593    11.725    1.3462  0.086687
       317    48.382    11.578    1.4111   0.01577
       318    47.024    11.305    1.3611  0.057475
       319    45.744    11.075    1.3495  0.060705
       320    44.537    10.886    1.3742  0.027604
