
Max Relative Error (%) - Vapor Pressure: 
     VdW: 164.982     RK : 22.4451     SRK: 7.06232      PR: 7.09705

Relative Error (%) - Vapor Pressure: 
    Tvap:      VdW:      RK :      SRK:       PR: 
       120    164.98    22.235    4.0633    2.4249
       121    155.23    22.445    5.2042    3.7175
       122    147.25    22.282    5.8457    4.4953
       123    139.93    22.055    6.3725    5.1506
       124    133.89     21.54    6.5229    5.4189
       125    128.02    21.077    6.7079    5.7174
       126    123.15    20.375    6.5849    5.7001
       127    122.63    18.166    4.6871    3.8891
       128     122.4    15.851    2.6697    1.9576
       129    118.03    15.144    2.5049    1.8904
       130    114.37    14.242    2.0975    1.5756
       131    109.05    14.096    2.5321    2.1033
       132    107.45    12.493    1.2965   0.95023
       133    101.39    12.851    2.2564     1.997
       134    96.267    12.927    2.8704     2.692
       135    91.912    12.763    3.1935    3.0912
       136     108.3    3.0367    7.0623    7.0971
       137    82.291    13.154    4.5669     4.605
       138     87.86    8.4502   0.13875  0.031036
       139    93.517    3.5834    4.9972    4.8166
       140    75.796    10.501     2.948    3.1744
       141    75.048    8.9793    1.6983    1.9848
       142    74.485    7.3789   0.35888   0.70417
       143    71.598    7.0539   0.38197    0.7791
       144    69.103    6.5791   0.23089   0.67771
       145     78.27   0.40486    6.8604    6.3323
       146    61.218    7.4683     1.842    2.3699
       147    57.141    8.1259    2.8459     3.408
       148    55.644    7.3409    2.3106    2.9131
       149    53.413    7.0387    2.2743    2.9117
       150     52.21    6.1556    1.6179     2.292
       151    42.728    10.496     6.416    7.0856
       152    50.133    4.2759   0.16433   0.90413
       153     47.07    4.6887    0.8342    1.5965
       154    44.382    4.9307    1.3137     2.095
       155    41.447    5.3972    2.0139    2.8099
       156    40.987    4.2513    1.0352    1.8572
       157    37.684    5.0811    2.0892    2.9181
       158    38.389    3.1824   0.32132    1.1788
       159    35.567    3.7797    1.1164    1.9784
       160    33.067    4.2098    1.7289    2.5947
