
Max Relative Error (%) - Vapor Pressure: 
     VdW: 28742.1     RK : 446.871     SRK: 33.2038      PR: 21.7222      SW: 36.0139

Relative Error (%) - Vapor Pressure: 
    Tvap:      VdW:      RK :      SRK:       PR:       SW: 
       273     28742    446.87    33.204    21.722    36.014
       274     27455    442.13    33.008    21.663    35.705
       275     26357    439.89    32.505    21.244    35.103
       276     25198    435.23     32.31    21.183    34.797
       278     23160    428.37    31.621    20.712    33.903
       279     22263    426.07    31.134    20.311     33.32
       280     21317    421.56    30.941    20.249    33.022
       281     20505    419.24    30.462    19.856    32.449
       282     19649    414.81    30.269    19.792    32.156
       284     18136    408.11    29.605    19.344    31.302
       285     17467    405.75    29.141    18.967    30.749
       286     16763    401.47     28.95    18.902    30.463
       287     16153     399.1    28.494    18.534    29.919
       288     15513     394.9    28.304    18.468    29.638
       289     14958    392.52    27.855    18.107    29.103
       290     14375    388.39    27.666    18.041    28.826
       291     13869    386.01    27.224    17.688    28.301
       292     13337    381.96    27.037    17.621    28.029
       293     12875    379.57    26.602    17.275    27.513
       295     11966    373.21    25.988    16.869    26.739
       296     11523    369.31    25.803    16.802    26.475
       297     11135    366.93    25.383     16.47    25.979
       298     10729     363.1    25.199    16.402    25.719
       299     10374    360.73    24.786    16.077    25.233
       300     10002    356.97    24.603     16.01    24.978
       301    9675.4    354.61    24.197    15.691    24.501
       302    9334.2    350.92    24.016    15.623     24.25
       303      9034    348.57    23.616    15.311    23.782
       304    8720.5    344.96    23.437    15.243    23.536
       305    8444.2    342.62    23.043    14.938    23.077
       306    8155.8    339.07    22.866     14.87    22.835
       307    7901.2    336.75    22.479    14.571    22.386
       308    7635.6    333.27    22.303    14.503    22.149
       309    7400.7    330.96    21.923     14.21    21.709
       310    7155.9    327.55    21.748    14.142    21.476
       311    6938.9    325.26    21.375    13.855    21.045
       312    6712.9    321.91    21.202    13.788    20.817
       313    6512.3    319.64    20.835    13.507    20.395
       314    6303.5    316.36    20.664    13.439    20.171
       315    6117.9    314.11    20.303    13.164    19.758
       316    5924.7     310.9    20.134    13.097    19.539
       317    5752.7    308.67    19.779    12.827    19.134
       318    5573.8    305.51    19.611     12.76     18.92
       319    5414.2    303.31    19.263    12.496    18.524
       320    5248.4    300.22    19.097     12.43    18.314
       321    5100.3    298.03    18.755    12.171    17.927
       322    4946.4       295    18.591    12.105    17.721
       323    4808.8    292.84    18.255    11.852    17.343
       324    4665.9    289.87    18.093    11.786    17.142
       325    4537.8    287.73    17.762    11.538    16.771
       326    4404.9    284.82    17.602    11.473    16.575
       327    4285.7    282.71    17.278     11.23    16.213
       328      4162    279.86    17.119    11.165    16.021
       329    4050.9    277.77    16.801    10.928    15.667
       330    3935.7    274.97    16.644    10.863    15.479
       331      3832    272.91    16.331     10.63    15.134
       332    3724.6    270.12    16.177    10.567    14.951
       333    3627.8    268.08     15.87    10.339    14.613
       334    3527.5    265.39    15.718    10.276    14.434
       335      3437    263.38    15.416    10.053    14.104
       336    3343.4    260.75    15.266      9.99     13.93
       337    3258.8    258.76    14.969    9.7716    13.608
       338    3171.2    256.18    14.821    9.7097    13.437
       339      3092    254.22     14.53    9.4958    13.123
       340    3010.2     251.7    14.383     9.433    12.955
       341      2936    249.77    14.096    9.2226    12.648
       342    2859.2    247.29    13.953    9.1633    12.487
       343    2789.6    245.38    13.675    8.9599    12.189
       344    2717.7    242.94    13.533    8.9002    12.031
       345    2652.4    241.07    13.258    8.6996    11.739
       346    2584.9    238.68    13.118    8.6406    11.586
       347    2523.6    236.83    12.848    8.4443    11.301
       348    2460.3     234.5    12.711    8.3861    11.152
       349    2402.6    232.67    12.446    8.1941    10.874
       350    2343.1    230.38     12.31    8.1366    10.729
       351    2288.9    228.58    12.051    7.9487    10.458
       352    2232.9    226.34    11.917    7.8921    10.316
       354    2129.3    222.37    11.531    7.6524    9.9153
       355    2081.2    220.62    11.282    7.4725    9.6582
       356    2031.6    218.46    11.153    7.4176    9.5247
       357    1986.3    216.74    10.908    7.2416    9.2743
       358    1939.6    214.63    10.781    7.1876    9.1447
       359    1896.8    212.93    10.541    7.0154    8.9008
       360    1852.7    210.86    10.416    6.9623     8.775
       361    1812.4    209.19    10.181    6.7938    8.5376
       362    1770.8    207.16    10.058    6.7417    8.4156
       363    1732.6    205.52    9.8273    6.5769    8.1844
       364    1693.4    203.52    9.7068    6.5257    8.0661
       365    1657.3    201.91    9.4808    6.3646    7.8412
       366    1620.2    199.95    9.3624    6.3143    7.7266
       367    1586.1    198.36    9.1409    6.1568    7.5077
       368      1551    196.44    9.0368    6.1074    7.3967
       370    1485.5    192.99    8.7064     5.905    7.0764
       371      1455    191.45    8.4941    5.7545    6.8694
       372    1423.5    189.61    8.3826    5.7166    6.7748
       373    1394.5    188.09    8.1747    5.5697    6.5737
